Total Length,Execute Time
581,379.90296936035156
582,379.9388122558594
583,379.936767578125
584,379.936767578125
585,379.8968200683594
586,379.9449462890625
587,379.9347229003906
588,380.19789123535156
589,380.03404235839844
590,379.92755126953125
591,379.9736328125
592,380.0709228515625
593,379.98797607421875
594,380.0678405761719
595,380.1151123046875
596,380.1651153564453
597,380.12005615234375
598,380.1230926513672
599,380.147705078125
600,380.14259338378906
601,380.1303405761719
602,380.16383361816406
603,380.1456604003906
604,380.1884765625
605,380.3852844238281
606,380.2090148925781
607,380.28285217285156
608,380.2334747314453
609,380.497802734375
610,380.3462371826172
611,380.53785705566406
612,380.4357147216797
613,380.39141845703125
614,380.4016571044922
615,380.60528564453125
616,380.400634765625
617,380.6761016845703
618,380.44041442871094
619,380.45155334472656
620,380.5091857910156
621,380.5091857910156
622,380.7395935058594
623,380.5652618408203
624,380.5460510253906
625,380.6423034667969
626,380.6648254394531
627,380.8898620605469
628,380.67401123046875
629,380.676025390625
630,380.7211456298828
631,380.77748107910156
632,380.95458984375
633,380.7508544921875
634,380.7981719970703
635,380.93104553222656
636,380.8759002685547
637,380.90118408203125
638,381.02015686035156
639,381.09388732910156
640,381.14527893066406
641,459.9314270019531
642,459.8149108886719
643,459.7270965576172
644,460.0770568847656
645,460.5069122314453
646,460.6474151611328
647,460.4577941894531
648,460.6913604736328
649,460.4835205078125
650,460.53382873535156
651,460.5747833251953
652,460.732421875
653,460.58815002441406
654,460.60662841796875
655,460.6597137451172
656,460.65052795410156
657,460.6812286376953
658,460.70069885253906
659,460.69537353515625
660,460.6791687011719
661,460.7683563232422
662,460.81919860839844
663,460.9719696044922
664,460.78053283691406
665,460.70294189453125
666,460.9689636230469
667,461.03558349609375
668,460.86956787109375
669,460.84486389160156
670,460.90956115722656
671,460.88697814941406
672,461.05702209472656
673,460.95257568359375
674,461.0221862792969
675,460.8808898925781
676,461.21775817871094
677,460.96588134765625
678,461.1359405517578
679,461.06419372558594
680,461.1255340576172
681,461.0600891113281
682,461.1758117675781
683,461.54547119140625
684,461.13587951660156
685,461.2526092529297
686,461.44102478027344
687,461.19322204589844
688,461.5957794189453
689,461.3273162841797
690,461.35398864746094
691,461.5105895996094
692,461.32838439941406
693,461.24952697753906
694,461.37977600097656
695,461.31703186035156
696,461.5987091064453
697,461.4461364746094
698,461.4615020751953
699,461.4995574951172
700,461.5290832519531
701,461.5106658935547
702,461.4676513671875
703,461.79327392578125
704,461.7318420410156
705,453.8306427001953
706,453.44866943359375
707,453.516357421875
708,453.62994384765625
709,453.54502868652344
710,453.8511047363281
711,453.6248321533203
712,453.7141418457031
713,454.07334899902344
714,453.7269744873047
715,453.7424621582031
716,453.5961608886719
717,454.1676788330078
718,453.65965270996094
719,453.8928985595703
720,453.7425994873047
721,454.06822204589844
722,453.7576904296875
723,453.6123809814453
724,453.8795623779297
725,454.21363830566406
726,453.84906005859375
727,454.076416015625
728,453.8931121826172
729,453.93714904785156
730,454.1398010253906
731,454.20851135253906
732,454.0354919433594
733,454.28839111328125
734,454.33856201171875
735,454.2535705566406
736,454.1941680908203
737,455.00621032714844
738,454.68467712402344
739,454.99085998535156
740,455.3145294189453
741,454.7460174560547
742,454.74610900878906
743,455.1034851074219
744,455.2560729980469
745,455.1033477783203
746,454.9992980957031
747,455.4209899902344
748,454.8708801269531
749,454.90672302246094
750,455.0324401855469
751,455.2395477294922
752,455.1845397949219
753,455.22422790527344
754,455.16697692871094
755,455.15264892578125
756,455.07994079589844
757,455.3861083984375
758,455.4723205566406
759,455.3983917236328
760,455.4159393310547
761,455.43321228027344
762,455.1759490966797
763,455.4588165283203
764,455.8991241455078
765,455.1832580566406
766,455.6134033203125
767,455.49261474609375
768,455.1843566894531
769,534.9630432128906
770,534.8751220703125
771,534.6959533691406
772,534.7338256835938
773,534.7951049804688
774,534.8688659667969
775,534.7819519042969
776,534.9119873046875
777,534.6744384765625
778,535.0440673828125
779,535.1341857910156
780,534.9662475585938
